ஃ	x
அ	a
இ	i
ஆ	aː
உ	ɯ
ஈ	iː
ஊ	uː
ஏ	eː
எ	e
ஐ	aɪ̯
ஓ	oː
ஒ	o
க	k
ஔ	aʊ̯
ங	ŋ
ச	tʃ
ஜ	d͡ʑ
ட	ʈ
ஞ	ɲ
ண	ɳ
த	t̪
ன	̃
ந	n̪
ப	p
ய	j
ம	̃
ற	r
ர	ɾ̪
ள	ɭ
ல	l̪
வ	ʋ
ழ	ɻ
ഃ	h
ം	m
ഇ	i
ആ	aː
ഉ	u
ഈ	iː
ഋ	ɨ
ഊ	uː
ഌ	lɨ
ഏ	eː
എ	e
ഐ	ai
ഓ	oː
ഒ	o
ക	k
ഔ	au
ഗ	ɡ
ഖ	kʰ
ങ	ŋ
ഘ	ɡʱ
ഛ	tʃʰ
ച	tʃ
ഝ	dʒʱ
ജ	dʒ
ട	ʈ
ഞ	ɲ
ഡ	ɖ
ഠ	ʈʰ
ണ	ɳ
ഢ	ɖʱ
ഥ	t̪ʰ
ത	t̪
ധ	d̪ʱ
ദ	d̪
ഩ	n
ന	n
ഫ	pʰ
പ	p
ഭ	bʱ
ബ	b
യ	j
മ	m
റ	r
ര	ɾ
ള	ɭ
ല	l
വ	ʋ
ഴ	ɻ
ഷ	ʂ
ശ	ɕ
ഹ	ɦ
സ	s
﻿അ	a
ഺ	t
ി	i
ാ	aː
ു	u
ീ	iː
ൃ	rɨ
ൂ	uː
ൄ	rɨː
േ	eː
െ	e
ൈ	ai
ോ	oː
ൊ	o
്	eps
ൌ	au
അഃ	aḥ
അം	am
ൡ	lɨː
ൠ	rɨː
ൣ	lɨː
ൢ	lɨ
ൻ	n
ൺ	ɳ
ൽ	l
ർ	ɾ
ൿ	k
ൾ	ɭ
